WeatherStation;Measurements;WindSpeed;Temperature;Pressure;OutFormAndLanguage;OutputFormat;File;WebServer;Format;HTML;XML;Text;Language;English;German;DataSource;ExternalSensors;Demo;Internet;Alarm;FreezePoint;StormAlert
true;true;false;false;true;true;true;false;false;false;false;false;true;true;false;true;true;false;false;true;true;true;false
true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;false;true;true;true;true
true;true;false;false;false;true;true;false;true;true;false;true;false;true;false;true;true;true;false;false;true;true;true
true;true;true;false;false;true;true;true;false;false;false;false;false;true;false;true;true;false;true;false;true;true;false
true;true;true;false;true;true;true;false;true;true;true;false;false;true;true;false;true;true;false;false;true;true;true
true;true;false;false;true;false;false;false;false;false;false;false;false;false;false;false;true;true;false;false;true;true;false
true;true;false;false;true;true;true;true;false;false;false;false;false;true;false;true;true;false;true;false;true;true;true
true;true;true;false;false;true;true;false;true;true;true;false;false;true;false;true;true;false;true;false;true;true;false
true;true;true;false;true;true;true;false;true;true;false;true;false;true;true;false;true;false;false;true;true;true;false
true;true;false;false;true;true;true;false;true;true;true;false;false;true;true;false;true;false;false;true;true;true;true
true;true;true;false;false;true;true;false;true;true;false;true;false;true;true;false;true;false;true;false;true;true;false
true;true;false;false;false;true;true;false;false;false;false;false;true;true;true;false;true;false;true;false;true;true;true
true;true;true;false;false;false;false;false;false;false;false;false;false;false;false;false;true;false;true;false;true;true;false
true;true;true;false;true;true;true;false;false;false;false;false;true;true;false;true;true;true;false;false;true;true;true
true;true;false;false;false;true;true;true;false;false;false;false;false;true;true;false;true;true;false;false;true;true;false
true;true;false;false;false;true;true;true;false;false;false;false;false;true;true;false;true;false;false;true;true;true;false
