CarBody;MultimediaDevices;Radio;MonochromeRadioDisplay;DVDDrive;ColorRadioDisplay;Navigation;DisplayType;MonochromeNavDisplay;ColorNavDisplay;DataStorage;HardDiskDrive;DVDEntertainment;OtherFeatures
true;true;false;false;false;false;false;false;false;false;false;false;false;true
true;true;true;true;true;false;true;true;true;false;true;true;true;true
true;true;true;false;false;true;true;true;false;true;false;false;false;true
true;false;false;false;false;false;false;false;false;false;false;false;false;true
true;true;true;true;false;false;false;false;false;false;false;false;false;true
true;true;false;false;false;false;true;true;false;true;true;true;true;true
true;true;true;true;true;false;false;false;false;false;false;false;false;true
true;true;true;false;false;true;false;false;false;false;false;false;true;true
true;true;true;false;false;true;true;true;false;true;true;true;false;true
true;true;true;true;true;false;true;true;false;true;true;true;false;true
true;true;true;true;true;false;true;true;true;false;false;false;false;true
