HelpSystem;Priority;PH;PI;PL;SensorInput;S1;S2;S3;S4;Level;BG;IT;AD;Method;PR;PB;Activity;PS;CT;SensorPosition;NotPressed;Pressed;Sound;Sound1;Sound2
true;true;false;false;false;true;false;false;false;true;true;false;false;true;true;false;true;true;false;true;true;true;true;true;false;true
true;true;true;true;true;false;false;false;false;false;true;true;false;false;true;true;false;true;true;false;true;true;true;true;true;false
true;true;false;true;true;true;false;true;false;false;true;false;true;false;true;true;false;true;true;false;true;true;true;true;true;false
true;true;true;false;false;true;true;false;false;false;true;false;true;false;true;false;true;true;false;true;true;true;true;true;false;true
true;true;false;false;true;true;false;false;true;false;true;true;false;false;true;true;false;true;true;false;true;true;true;true;true;false
true;true;false;true;false;true;true;false;false;false;true;true;false;false;true;false;true;true;false;true;true;true;true;true;false;true
true;true;true;true;false;true;false;false;true;false;true;false;false;true;true;true;false;true;true;false;true;true;true;true;true;false
true;true;false;false;true;false;false;false;false;false;true;false;false;true;true;false;true;true;false;true;true;true;true;true;false;true
true;true;true;true;true;true;false;false;false;true;true;true;false;false;true;true;false;true;true;false;true;true;true;true;true;false
true;true;true;false;false;false;false;false;false;false;true;false;true;false;true;false;true;true;true;false;true;true;true;true;true;false
true;true;true;false;false;true;false;true;false;false;true;true;false;false;true;false;true;true;false;true;true;true;true;true;false;true
true;true;false;true;true;true;true;false;false;false;true;false;false;true;true;true;false;true;true;false;true;true;true;true;true;false
true;true;true;false;false;true;false;false;true;false;true;false;true;false;true;false;true;true;false;true;true;true;true;true;false;true
true;true;true;true;true;true;false;false;false;true;true;false;true;false;true;true;false;true;false;true;true;true;true;true;false;true
true;true;false;true;false;true;false;true;false;false;true;false;false;true;true;true;false;true;false;true;true;true;true;true;true;false
true;true;true;false;false;true;true;false;false;false;true;true;false;false;true;true;false;true;true;false;true;true;true;true;false;true
