AmbientAssistedLiving;Sensor;LightMonit;TempMonit;GlucMonit;Others;Humidity;Accelerometer;Glucose;Light;Temperature;FallMonit;SenEncryp;Smartphone;Video;SmartphoneType;Android;iPhone;FailTrans;Diabetes;PhEncryp;Alarm;Camera;Transmission;Rec;CamEncryp;FallRec;Services;VideoSurveillance;Encryption;LightControl;GlucoseControl;FallDetection;HeatControl
true;true;false;true;true;true;true;false;true;false;true;false;false;true;false;true;true;false;false;false;false;true;true;false;false;false;false;true;false;true;false;true;false;true
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true
true;true;false;true;false;true;false;true;false;true;false;true;false;true;true;false;false;false;true;true;false;true;true;true;false;true;false;true;true;false;true;false;true;false
true;true;true;true;false;true;true;true;false;false;false;false;false;true;false;true;false;true;false;false;true;true;true;false;false;false;true;true;false;false;false;false;false;false
true;true;false;true;true;false;false;false;false;false;false;true;true;true;true;true;false;true;true;false;false;true;true;false;false;false;true;true;false;false;false;true;false;false
true;true;true;true;false;false;false;false;false;false;false;false;true;true;false;true;false;true;true;false;false;true;true;true;true;false;false;true;true;true;false;false;true;true
true;true;false;true;true;false;false;false;false;false;false;true;true;true;true;true;true;false;true;false;true;true;true;true;true;true;false;true;false;false;true;false;false;true
true;true;true;true;false;true;false;false;true;true;true;false;false;true;false;true;true;false;false;true;false;true;true;true;false;false;false;true;false;false;true;true;true;false
true;true;false;true;true;true;true;true;false;true;true;true;true;true;false;false;false;false;true;false;true;true;true;false;false;false;true;true;false;true;false;false;false;false
true;true;true;true;true;false;false;false;false;false;false;false;false;true;true;false;false;false;false;true;false;true;true;false;true;true;false;true;true;true;false;false;true;true
true;true;false;true;true;true;false;true;true;true;false;true;true;true;true;false;false;false;false;true;true;true;true;false;true;true;false;true;true;true;true;false;true;false
true;true;true;true;false;true;true;false;true;true;true;true;false;true;true;true;false;true;true;false;true;true;true;true;true;false;false;true;false;true;false;true;true;false
true;true;false;true;false;false;false;false;false;false;false;true;true;true;false;true;false;true;false;true;true;true;true;false;true;true;true;true;true;false;true;false;false;false
true;true;false;true;false;true;true;true;true;true;false;false;true;true;false;false;false;false;false;true;false;true;true;false;false;true;false;true;false;true;false;true;true;false
