BCS;Wiper;Budget;Premium;Security;CLS;RCK;Infotainment;Bluetooth;USB;Automatic_Driving;CruiseControl;ACC;Door_System;Power_window;Heatable_Mirrors
true;true;false;true;false;false;false;true;true;false;true;false;true;true;false;false
true;true;true;false;true;true;false;true;true;false;false;false;false;true;false;false
true;true;false;true;false;false;false;true;true;true;false;false;false;true;true;true
true;true;true;false;true;false;false;true;true;true;true;false;true;true;true;true
true;true;false;true;true;true;false;true;true;true;true;false;true;true;true;true
true;true;true;false;false;false;false;true;true;false;true;false;false;true;true;true
true;true;false;true;true;true;false;true;true;true;true;false;true;true;false;false
true;true;false;true;true;true;false;true;true;false;true;false;true;true;false;true
true;true;true;false;false;false;false;true;true;false;true;false;true;true;true;false
true;true;false;true;true;false;false;true;true;true;true;false;false;true;true;false
true;true;false;true;true;false;true;true;true;false;false;false;false;true;false;false
true;true;true;false;true;false;true;true;true;true;true;false;true;true;true;true
