AutomotiveMultimedia;AudioPlayer;Radio;CDPlayer;VoiceRecognition;PersonalNavigation;OnBoardComputer;Maps;Europe;NorthAmerica;CentralAmerica;SouthAmerica;Asia
true;true;true;false;false;false;true;true;false;false;false;false;true
true;true;true;true;true;true;true;true;true;true;true;true;false
true;false;false;false;false;false;true;true;false;false;false;false;true
true;false;false;false;true;true;true;true;true;true;true;true;false
true;true;true;true;true;false;true;true;false;false;false;false;true
true;true;true;true;false;false;true;true;true;true;true;true;false
true;true;true;false;false;true;true;true;true;false;false;false;true
true;true;true;true;true;true;true;true;false;false;true;true;false
true;true;true;false;true;true;true;true;false;true;true;false;true
true;true;true;false;false;false;true;true;true;true;false;false;false
true;true;true;false;true;true;true;true;false;false;false;true;true
