SmartHome;HeatingManagement;ManualHeating;SmartHeating;WindowsManagement;ManualWindows;ElectronicWindows;LightManagement;ManualLight;SmartLight;GUI;TouchScreen;Internet;PresenceSimulator;LightSimulation;BlindSimulation;MusicSimulation;FireControl;FirstAidGroup;FirstAidGroup_1;FireDepartment;OtherGroup;FireSprinklers;IrrigationSprinklers;SimpleControl;SmartSprinklers;Alarm;Siren;Bell;Lights;Security;AuthenticationDevice;Keypad;RetinaScanner;FingerPrintReader;IntrusionDetectionDevice;GlassbreakSensors;Cameras;Pre_definedValues
true;true;true;false;true;true;false;true;true;false;true;true;false;false;false;false;false;true;true;true;false;true;false;false;false;false;true;false;false;true;true;true;false;false;true;false;false;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;false;true;true;true;true
true;true;true;true;true;true;false;true;true;false;true;true;false;false;false;false;false;true;true;true;false;true;false;false;false;false;true;false;false;true;true;true;false;false;true;false;false;false;false
true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;false;true;true;true;true
true;true;true;true;true;true;true;true;true;false;true;true;false;false;false;false;false;true;true;true;false;true;false;false;false;false;true;false;false;true;true;true;false;false;true;false;false;false;false
true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;false;true;true;true;true
true;true;true;false;true;true;true;true;true;true;true;true;false;false;false;false;false;true;true;true;false;true;false;false;false;false;true;false;false;true;true;true;false;false;true;false;false;false;false
true;true;true;false;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;false;true;true;true;true
true;true;true;false;true;true;true;true;true;false;true;true;true;false;false;false;false;true;true;true;false;true;false;false;false;false;true;false;false;true;true;true;false;false;true;false;false;false;false
true;true;true;false;true;true;true;true;true;true;true;true;false;true;false;true;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;false;true;true;true;true
true;true;true;false;true;true;false;true;true;false;true;true;false;true;true;false;false;true;true;true;false;true;false;false;false;false;true;false;false;true;true;true;false;false;true;false;false;false;false
true;true;true;false;true;true;false;true;true;true;true;true;false;false;false;false;false;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;false;true;true;true;true
true;true;true;false;true;true;false;true;true;true;true;true;true;true;false;true;false;true;true;true;false;true;false;false;false;false;true;false;false;true;true;true;false;false;true;false;false;false;false
true;true;true;true;true;true;true;true;true;false;true;true;true;true;false;false;true;true;true;true;false;true;false;false;false;false;true;false;false;true;true;true;false;false;true;false;false;false;false
true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;false;true;true;true;true;false;true;true;true;true
true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;true;false;false;false;false;false;true;false;false;true;true;true;false;false;true;false;false;false;false
true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true;true;false;true;true;true;true;true;true;false;true;true;true;true;false;true;true;true;true
true;true;true;true;true;true;true;true;true;false;true;true;true;true;true;false;false;true;true;true;true;false;true;false;false;false;true;false;false;true;true;true;false;false;true;false;false;false;false
true;true;true;false;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;true;true;false;true;false;false;false;true;true;true;false;true;true;true;true;false;true;true;true;true
true;true;true;true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;false;true;false;false;true;true;true;false;false;true;false;false;false;false
true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;false;false;true;false;false;false;false
true;true;true;false;true;true;false;true;true;true;true;true;false;true;true;true;false;true;true;true;true;true;true;true;true;true;true;false;true;false;true;true;true;true;false;true;true;true;true
true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;false;false;true;true;true;true;true;true;true;true;false;true;false;true;true;true;true;false;false;true;false;false;false;false
true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;false;true;true;true;true;false;false;true;true;true;true;true;false;false;true;true;false;true;false;true;true;true;true
true;true;true;false;true;true;false;true;true;true;true;true;true;true;true;false;false;true;true;true;true;false;false;true;true;true;true;true;false;false;true;true;true;false;true;false;false;false;false
true;true;true;false;true;true;true;true;true;false;true;true;false;true;true;true;false;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true
true;true;true;true;true;true;false;true;true;true;true;true;false;true;true;true;false;true;true;true;true;true;false;true;true;false;true;false;true;true;true;true;false;true;false;false;false;false;false
true;true;true;true;true;true;false;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;false;true;true;false;true;true;false;true;true;true;true;true;true;true;true;true;true
true;true;true;false;true;true;false;true;true;false;true;true;true;true;true;true;false;true;true;true;true;false;true;true;true;true;true;true;true;false;true;true;true;false;true;true;true;false;false
true;true;true;true;true;true;true;true;true;true;true;true;true;true;true;false;false;true;true;true;true;false;true;true;true;false;true;true;true;true;true;true;true;true;true;true;false;true;true
true;true;true;false;true;true;false;true;true;true;true;true;false;true;true;false;false;true;true;true;true;false;false;true;true;true;true;true;false;true;true;true;true;true;true;true;false;true;false
true;true;true;false;true;true;false;true;true;true;true;true;false;true;true;false;true;true;true;true;true;false;true;true;true;true;true;true;false;false;true;true;true;false;true;false;false;false;true
